GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
FZD8	1.39610808096629	8.20241176470588	18.5393495291537	1.38403793790297e-58	2.8414298865148e-55	122.443631883718
ADCY1	1.39379092697019	8.26548133874239	13.3828758159185	4.7004068057869e-35	1.28665802297073e-32	68.8376184562097
AGMAT	1.38825567042605	5.60080831643002	13.9228091964197	2.17763709569355e-37	7.21078864106266e-35	74.1524623428868
LUZP2	1.38557868107768	8.78456855983773	9.6624290237453	2.43333722817511e-20	1.39154354580599e-18	35.3876489961888
RFPL2	1.37276530040378	7.27992738336714	7.31426150015809	1.05740908788166e-12	2.06159625586044e-11	18.1154727579661
HS6ST2	1.3716221491228	5.49954604462475	8.50900678620222	2.12785121705765e-16	7.20871047626955e-15	26.459447909266
BCL2L10	1.36868048593705	3.23156896551724	13.5939256281106	5.81586458057822e-36	1.70570999770387e-33	70.9038849988323
C12orf56	1.36479518936228	3.0959584178499	6.17031880648666	1.42449939955939e-09	1.61485216305655e-08	11.088651278389
MFSD4	1.36084443574213	7.05716389452333	11.8765771977611	8.84740948222223e-29	1.28820791964555e-26	54.5584843912379
TMEM45B	1.35569266743245	8.99070466531441	9.48898309274127	1.00159246490882e-19	5.32712261776633e-18	33.9943324684193
CD177	1.34940969785574	8.32850223123732	4.88744768374054	1.3845768539868e-06	8.64781345066898e-06	4.44265997315589
ROPN1B	1.34362722431077	4.6893229208925	10.9589075536218	3.72005002651371e-25	3.56881434786572e-23	46.3202975424216
WIT1	1.33911463380673	2.23313833671399	9.98414034797213	1.6870542256796e-21	1.09953089692705e-19	38.016979799987
FAM3D	1.33537408799774	8.43894117647059	7.78421581662547	4.16974607859103e-14	1.02766971180641e-12	21.2808697028997
KCNS3	1.33459852582844	8.08645010141988	18.1204484852265	1.34503465105557e-56	2.51032376237916e-53	117.915229810112
AMPD3	1.33394424429127	8.84829006085193	16.5426683095101	3.35014796032665e-49	2.86577240106275e-46	101.062851369227
PABPC1L2B	1.32437326649957	7.83166855983773	7.24208265447077	1.7138036145333e-12	3.19567558640951e-11	17.6432475468414
TMEM26	1.32276460944026	7.0945906693712	9.02590854467005	4.02035438432046e-18	1.79040944707373e-16	30.3607028262962
FMN1	1.32261686856028	4.46788600405679	9.54330945302211	6.44198332615402e-20	3.49878089116249e-18	34.4288857108457
PRSS16	1.32186326406291	6.67405334685599	8.50706845286716	2.15908016553259e-16	7.29044667736582e-15	26.445136604677
PTK6	1.31872518100806	7.25386511156187	10.0304518921855	1.14354398705735e-21	7.62238897866472e-20	38.400193108322
SP8	1.31498749999999	6.4126354969574	8.40863479479321	4.51057027713688e-16	1.46522164224082e-14	25.7215620505572
VWA2	1.31053411480087	7.7136509127789	9.75703472208228	1.11668565577944e-20	6.64508884439183e-19	36.1548534007367
MYT1	1.30758363617376	2.8456168356998	7.23526585940505	1.79343024503332e-12	3.31703810184992e-11	17.5988440645972
LOC100130933	1.30018625730994	1.98175131845842	8.8053618345306	2.23081817184065e-17	8.7736967563005e-16	28.6756964644215
MCOLN2	1.29677716339458	5.95913813387424	10.2328952476788	2.06154068457949e-22	1.51155108051489e-20	40.0889549257754
P2RY1	1.29158221943747	6.85898965517241	9.10806840128588	2.10748456615429e-18	9.55113866294647e-17	30.9960357180677
PIGR	1.29027274436089	9.82834685598377	5.23464424274152	2.45251324554194e-07	1.80337023391748e-06	6.10610757976203
TAC1	1.28311764132552	3.25913935091278	8.59821733303361	1.08543877547048e-16	3.80274028334624e-15	27.120726019678
ATP11A	1.27877754455582	9.67137221095335	12.226596104898	3.33234993463e-30	5.65397885602925e-28	57.7978632561199
PABPC1L2A	1.27273890455304	5.56936673427992	8.03160653882572	7.15530595181121e-15	1.93797402626232e-13	23.0089012308698
BARX1	1.27045395955165	1.72761115618661	10.2150516559994	2.3996794240565e-22	1.74700065871915e-20	39.9392237283263
LRRN1	1.26102298454466	8.88950385395539	7.82547439863458	3.11665738202306e-14	7.86184628957423e-13	21.5661507962449
